"sender","receiver","larrivals"
"ALB","AUS",5.45103845390631
"ALB","AZE",2.9177707316405
"ALB","BEL",8.51228114713451
"ALB","BGR",9.85634352959026
"ALB","BHR",3.55534806128486
"ALB","BHS",1.79175946905886
"ALB","BIH",5.80513496908824
"ALB","BLR",0.405465108401534
"ALB","BRB",0.916290731778243
"ALB","CAN",6.23734758544645
"ALB","CHL",5.21493575796536
"ALB","CHN",7.6418044504973
"ALB","EGY",6.70686233669517
"ALB","FIN",6.59441345997327
"ALB","GEO",3.97968165425884
"ALB","GRC",13.8019201228184
"ALB","GRD",0.405465108401534
"ALB","GTM",1.94591014902531
"ALB","IND",4.19720194812109
"ALB","ISR",5.18178355059663
"ALB","ITA",10.5802512573998
"ALB","KAZ",3.38439026350408
"ALB","KOR",5.19849703120624
"ALB","LBN",4.66343909411292
"ALB","LVA",3.17805383029024
"ALB","MAR",4.04305126819542
"ALB","MDV",3.15700042134543
"ALB","MKD",9.73610387063786
"ALB","MLT",5.63121178177053
"ALB","MNG",1.25276296829989
"ALB","MUS",1.609437912
"ALB","NIC",0.916290732249311
"ALB","NZL",2.97041446576655
"ALB","PAK",3.09104245371108
"ALB","POL",6.33682573144149
"ALB","PRT",7.14203657431876
"ALB","RUS",6.98933526627548
"ALB","SAU",5.58349630890018
"ALB","SVK",7.73061406564714
"ALB","THA",5.57972982569304
"ALB","TTO",2.35137525740153
"ALB","TUR",10.2859910478138
"ALB","UKR",5.91620206268492
"ALB","USA",8.53149049621916
"ALB","VEN",0.916290731778243
"ARE","ARM",4.53259949287004
"ARE","AUS",9.50065647251662
"ARE","AZE",3.85014760155843
"ARE","BEL",8.19035440380787
"ARE","BGR",5.26269018866509
"ARE","BHR",10.4854377758425
"ARE","BHS",4.23410650455762
"ARE","BLR",3.68887945403944
"ARE","BRB",3.66356164658129
"ARE","CAN",9.0049753420674
"ARE","CHL",2.44234703547183
"ARE","CHN",6.81618808546773
"ARE","CYP",8.60822148961567
"ARE","EGY",10.210052713578
"ARE","ETH",7.56786260550196
"ARE","FIN",4.87137322679527
"ARE","GBR",11.6439625038189
"ARE","GEO",2.52572864436753
"ARE","IND",10.0120728649808
"ARE","ISR",5.40717177148096
"ARE","ITA",9.43252346228453
"ARE","JOR",8.94383253455451
"ARE","KAZ",6.5603232020206
"ARE","KOR",5.89302447416579
"ARE","LBN",9.38727243140458
"ARE","LVA",3.54095932397695
"ARE","MAR",8.64126750685383
"ARE","MDV",5.54712866452931
"ARE","MLT",4.43081679873596
"ARE","MNG",1.2527629685691
"ARE","MUS",6.51914728787748
"ARE","MYS",9.01627006815635
"ARE","NIC",0.405465108401534
"ARE","NZL",7.69393732557635
"ARE","PAK",8.70888735437664
"ARE","PHL",7.83002808286802
"ARE","POL",5.05942545824857
"ARE","PRT",4.94875989004561
"ARE","RUS",8.07215530781008
"ARE","SAU",12.0324987126377
"ARE","SGP",8.43109049228641
"ARE","SYC",6.75751361581726
"ARE","THA",10.5671415513299
"ARE","TJK",1.94591014862674
"ARE","TTO",3.62434093289664
"ARE","TUN",6.26435019058878
"ARE","TUR",8.13020630416179
"ARE","UKR",6.66185474050936
"ARE","USA",10.2941942874979
