ISO_3_CODE,UNcode,larrivals.sender,larrivals.receiver,LP00_03,LGDP00_03,YWHn00_03,LWHa00_03,YOp00_03,K00_02
ALB,8,10.11620898,8.224687,14.93612491,7.795243059,1,0,18.8,4
ARE,784,9.294934246,11.84706069,14.98510473,11.0329498,0,0,4.9,4
ARM,51,9.408820991,6.906270049,14.93429425,7.357098559,3,4.390118805,6.4,4
ATG,28,7.378892524,10.79016751,11.27573792,9.383959081,0,0,39.53333333,1
AUS,36,10.94330724,10.51380611,16.7810826,10.70835556,14,17.61870709,5.4,4
AUT,40,11.47914921,13.09694186,15.90059527,10.6543952,7.333333333,11.44292487,9.5,4
AZE,31,10.42174899,8.909831177,15.90868047,7.490539449,1,3.113515309,3.266666667,4
BEL,56,11.17391136,10.87588835,16.1467028,10.61021076,8,6.568456913,7.4,4
BEN,204,9.055602453,6.919546148,15.78676463,6.549769057,1,3.883623531,5.266666667,5
BFA,854,7.273943915,8.678699609,16.29603738,6.076901462,0,0,2.133333333,5
BGR,100,9.891462676,11.23636605,15.8974043,8.351232932,9,10.5928334,15.56666667,4
BHR,48,9.028226688,9.186807814,13.45268148,10.02449906,0,0,15.03333333,4
BHS,44,9.228158802,9.497055495,12.62280954,10.12450144,0,0,31.43333333,4
BIH,70,8.857643221,7.936194489,15.15059715,8.045284194,0,0,6.866666667,4
BLR,112,10.59055413,6.744083725,16.11133965,7.958628751,2,3.33220451,5.3,4
BLZ,84,7.343583306,9.39892797,12.44837286,8.272105388,1,11.47523398,18.2,3
BRA,76,9.996925083,11.40771739,18.99963487,9.08088535,15,15.69431021,1,4
BRB,52,8.246391372,8.470044592,12.50865072,9.59664355,0,0,27.03333333,1
BTN,64,6.358196702,5.010480243,13.27273263,7.166482598,0,0,1.866666667,6
BWA,72,10.05072654,9.826806132,14.38191941,8.510622913,0.666666667,8.07121854,7.9,2
CAN,124,12.02903523,12.00365304,17.25179194,10.69561453,13,16.69204843,3.766666667,4
CHE,756,11.60974572,11.94908414,15.79415799,11.12004268,4.666666667,11.86118039,5.733333333,4
